point_num,point_name,location,road,UTM_northing,UTM_easting,elevation,HIB100,HIB200,HIB500,LIB100,LIB200,LIB500,H100,H200,H500,ave_low,ave_high,ave_mean,forest_canopy_cover
1,South Gate,Wolf Laurel,South Gate,3979940,363408,1153.95,0,4,5,0,2,8,6,13,46,13.7,21.3,17.1,0.56
2,Hampton Gap,Wolf Laurel,Hampton Gap,3981430,364009,1318.56,0,0,0,0,1,6,6,15,50,15,20,17.2,0.62
3,Cottage,Wolf Laurel,Cottage Lane,3981100,364545,1368.47,0,3,11,0,0,3,7,15,44,14.4,21.2,17.2,0.52
4,Granny Lewis Bend,Wolf Laurel,Granny Lewis,3981970,364436,1453.6,0,1,7,0,0,7,5,11,50,13.8,19.2,16.2,0.61
5,Country Club,Wolf Laurel,Wolf Laurel,3981610,364576,1363.95,2,6,18,0,2,4,0,5,46,14.3,20.2,17.2,0.49
6,Granny Lewis West,Wolf Laurel,Granny Lewis,3982350,364029,1421.94,0,0,0,0,0,5,1,8,34,12.8,23.2,16.8,0.74
7,Birch Springs,Wolf Laurel,Birch Springs,3981180,365546,1508.81,0,0,0,0,1,1,2,7,32,14,20.2,16.6,0.77
8,Goldenleaf,Wolf Laurel,Goldenleaf,3983380,365552,1296.58,0,0,0,1,1,4,1,3,20,14.9,20.3,17.3,0.69
9,Overlook,Wolf Laurel,Overlook,3980160,365766,1397.74,0,0,0,0,0,2,3,7,22,14.6,20.5,17.2,0.72
10,Running Cedar,Wolf Laurel,Running Cedar,3979870,366215,1342.98,0,0,0,0,0,1,1,3,9,14.3,21,17.3,0.51
11,Panther Intersection,Wolf Laurel,Panther Knob,3982470,366049,1348.02,0,0,0,0,0,1,0,0,11,14.5,19.8,16.7,0.75
12,Bear Run,Wolf Laurel,Bear Run,3980260,366579,1223.95,0,0,0,0,0,0,0,0,0,15.2,23.3,18.3,0.66
13,Lot 44,Wolf Laurel,Bear Run,3979920,366489,1231.51,0,0,0,0,0,0,0,1,7,15,21.6,17.9,0.62
14,Panther End,Wolf Laurel,Panther Knob,3982590,366769,1363.13,0,0,0,0,0,0,0,0,0,14.7,19,16.7,0.82
15,Big Bald,Wolf Laurel,Angelico Ridge,3983800,365781,1625.5,0,0,0,0,0,0,0,0,3,12.6,18.3,15.2,0.5
16,Ridgeway ,Mars Hill,Ridgeway Road,3967690,359608,759.84,0,0,3,0,4,16,7,16,41,15.8,24.4,19.8,0.5
17,Valley ,Mars Hill,Valley Road,3966720,360636,740.04,0,0,0,2,13,34,7,29,124,15.7,24.3,19.3,0.52
18,Gibson Hall,Mars Hill,Dormitory Road,3965540,360020,726.71,1,8,71,1,1,8,0,5,21,16.2,25.3,20.4,0.4
19,Woodland,Mars Hill,Woodland Drive,3966270,360910,741.89,0,0,0,0,2,17,6,18,125,16.1,24.3,19.9,0.54
20,Westridge,Mars Hill,Westridge Road,3964150,360196,692.52,0,0,2,0,2,21,5,11,54,15.9,25.6,20.2,0.6
21,Laurel Wood,Mars Hill,Laurel Wood Road,3967970,359642,794.9,0,0,3,0,0,15,2,7,32,16.6,24,20,0.66
22,Duck,Mars Hill,Duck Road,3965270,359942,770.51,0,0,15,1,3,7,1,3,24,16.4,24.2,20,0.73
23,Quail Ridge,Mars Hill,Quail Ridge Road,3964500,359981,706.85,0,0,0,0,0,7,2,12,38,15.6,24.2,19.6,0.66
24,River Bend,Mars Hill,River Bend Drive,3962000,358874,668.89,0,0,0,0,1,7,3,5,17,16,24.2,19.7,0.8
25,Banjo Branch,Mars Hill,Banjo Branch Road,3968280,359318,771.06,0,0,0,1,5,17,3,7,22,16,23.9,19.4,0.55
26,Bend of Ivy,Mars Hill,Bend of Ivy,3962200,354130,550.93,0,0,0,0,0,4,0,0,9,15.6,26.4,19.9,0.68
27,Windswept Ridge,Mars Hill,Windspept Ridge Road,3963200,352650,697.55,0,0,0,0,1,12,0,0,18,16.3,24.6,20.3,0.7
28,Forks of Ivy,Mars Hill,Forks of Ivy Road,3961850,360040,593.81,0,0,0,0,0,3,0,0,5,15.1,25.5,19.9,0.75
29,Long Ridge,Mars Hill,Long Ridge Road,3963420,360538,670.36,0,0,0,0,0,20,0,2,29,15.9,25.2,20.1,0.57
30,Park,Mars Hill,Park Drive,3964790,359384,685.56,0,0,1,0,0,14,0,1,16,15,25.5,19.6,0.48
31,Christie,Beech Mountain,Christie Way,4005140,421402,1533.59,1,6,29,0,0,36,11,28,119,13,20,15.9,0.27
32,Charter Hills,Beech Mountain,Charter Hills,4006170,422318,1455.43,0,0,0,0,1,3,9,37,134,13.6,19.9,16.4,0.47
33,Lower Grouse,Beech Mountain,Lower Grouse Ridge Road,4007690,421714,1334.12,0,0,0,0,0,1,7,21,77,14.6,20.8,17.2,0.55
34,Lake,Beech Mountain,Lake Road,4006870,420865,1364.46,0,0,6,0,1,7,6,26,135,13.9,19.7,16.7,0.55
35,Mariah Circle,Beech Mountain,Mariah Circle,4006630,420352,1497.16,0,0,0,1,1,6,26,53,204,13.1,19.1,15.7,0.54
36,Staghorn Hollow,Beech Mountain,Staghorn Hollow,4006670,422251,1375.74,0,0,0,0,1,4,9,30,144,13.9,19.9,16.8,0.53
37,Lee,Beech Mountain,Rainbow's End,4007900,421844,1257.64,0,0,0,0,0,0,1,3,53,15.3,21.2,17.8,0.53
38,Hoot Owl,Beech Mountain,Locust Ridge,4007520,421483,1247.8,0,0,0,0,0,3,4,11,69,13.9,19.9,16.9,0.64
39,Quail-Beech Intersection,Beech Mountain,Beech Mountain Road,4006410,419639,1398.29,0,0,0,0,0,2,1,3,30,13.5,19.7,16.4,0.6
40,Hummingbird,Beech Mountain,Beech Mountain Road,4006720,420050,1423.68,0,0,0,0,0,5,2,19,182,13.3,18.8,15.8,0.51
