Specimen,Name,Lobes,Mvein_lngth,Edges,Compound,Bristle_tip,Venation,Lngth_wdth,Widest_part
1,Beech,1,13.2,1,0,0,0,2.16,2
2,Beech,1,150,1,0,0,0,1.764705882,2
3,Beech,1,158,1,0,0,0,1.92,2
4,Beech,1,135,1,0,0,0,1.901408451,2
5,Beech,1,177,1,0,0,0,1.77,2
6,Beech,1,103,1,0,1,0,1.91,2
7,Beech,1,103,1,0,1,0,1.91,2
8,Birch,1,10.5,1,0,0,0,2.33,2
9,Birch,1,119,1,0,0,0,1.88,2
10,Birch,1,121,1,0,0,0,1.861538462,2
11,Birch,1,110,1,0,1,0,2.39,2
12,Birch,1,110,1,0,1,0,1.833333333,2
13,Birch,1,110,1,0,0,0,1.929824561,2
14,Birch,1,118,1,0,1,0,2.03,2
15,Birch,1,118,1,0,1,0,2.03,2
16,Blk_gum,1,6.5,0,0,0,0,1.41,2
17,Blk_gum,1,90,0,0,0,0,1.636363636,3
18,Blk_gum,1,153,0,0,0,0,2.35,3
19,Blk_gum,1,72,0,0,0,0,1.714285714,3
20,Blk_gum,1,100,0,0,0,0,2.22,2
21,Blk_gum,1,85,0,0,0,0,1.7,2
22,Blk_gum,1,97,0,0,0,0,1.73,2
23,Blk_gum,1,97,0,0,0,0,1.73,2
24,Blk_locust,17,14.1,0,1,0,0,2.7,2
25,Blk_locust,1,120,0,1,1,0,1.846153846,2
26,Blk_locust,1,148,0,1,0,0,2.69,2
27,Blk_locust,17,164,0,1,0,0,2.64516129,2
28,Blk_locust,1,31,0,1,0,0,1.24,3
29,Blk_locust,16,33,0,1,0,0,3,2
30,Blk_locust,16,33,0,1,0,0,3,2
31,Blk_oak,9,16.5,0,0,1,0,1.36,3
32,Blk_oak,9,155,0,0,1,0,1.24,3
33,Blk_oak,8,206,0,0,1,0,1.31,2
34,Blk_oak,9,125,0,0,1,0,1.302083333,3
35,Blk_oak,7,175,0,0,1,0,1.38,3
36,Blk_oak,7,185,1,0,0,0,1.32,3
37,Blk_oak,7,185,1,0,0,0,1.32,3
38,Cherry,1,9.4,1,0,0,0,3.4,2
39,Cherry,1,93,1,0,0,0,2.58,2
40,Cherry,1,73,1,0,0,0,2.28125,2
41,Cherry,1,85,1,0,0,0,3.54,2
42,Cherry,1,113,1,0,1,0,3.32,2
43,Cherry,1,113,1,0,1,0,3.32,2
44,Dogwood,1,110,0,0,0,0,1.774193548,2
45,Dogwood,1,132,0,0,0,0,2.03,1
46,Dogwood,1,99,0,0,0,0,1.375,2
47,Dogwood,1,127,0,0,0,0,1.67,1
48,Dogwood,1,127,0,0,0,0,1.67,1
49,Mimosa,8,9.8,0,1,1,0,0.9,4
50,Mimosa,1,100,1,1,1,1,0.833333333,2
51,Mimosa,1,160,0,1,1,0,1.1,2
52,Mimosa,10,112,0,1,1,0,1.292517007,3
53,Mimosa,16,52,0,1,1,0,2.6,2
54,Mimosa,16,52,0,1,1,0,2.6,2
55,Mockernut,5,205,1,1,0,0,0.843621399,2
56,Mockernut,7,23.3,1,1,0,0,0.93,3
57,Mockernut,1,262,1,1,0,0,0.93,3
58,Mockernut,1,117,1,1,0,0,2.25,2
59,Mockernut,7,117,1,1,1,0,2.13,3
60,Mockernut,7,117,1,1,1,0,2.13,3
61,RedMaple,3,7.3,1,0,0,1,1.17,2
62,RedMaple,5,10,1,0,1,1,1.02,3
63,RedMaple,3,95,1,0,0,1,1.055555556,2
64,RedMaple,5,110,1,0,0,1,0.92,0
65,RedMaple,3,82,1,0,0,1,0.96,2
66,RedMaple,5,110,1,0,1,1,0.92,0
67,RedMaple,5,110,1,0,1,1,0.92,0
68,Sassafras,3,12.7,0,0,0,0,1.41,3
69,Sassafras,2,15.4,0,0,0,0,1.57,2
70,Sassafras,1,8.1,0,0,0,0,1.65,2
71,Sassafras,1,155,0,0,0,0,2.384615385,2
72,Sassafras,3,175,0,0,0,0,1.25,2
73,Sassafras,2,150,0,0,0,0,2,2
74,Sassafras,1,60,0,0,0,0,1.88,2
75,Sassafras,2,145,0,0,0,0,1.61,2
76,Sassafras,3,97,0,0,0,0,1.76,3
77,Sassafras,3,170,0,0,0,0,1.25,3
78,Sassafras,3,180,0,0,0,0,1.35,2
79,Sassafras,2,100,0,0,0,0,2,1
80,Sassafras,1,126,0,0,0,0,1.38,3
81,Sassafras,2,85,0,0,0,0,1.545454545,2
82,Sassafras,1,80,0,0,0,0,1.777777778,2
83,Sassafras,3,97,0,0,0,0,1.41,3
84,Sassafras,2,133,0,0,0,0,1.77,2
85,Sassafras,1,155,0,0,0,0,0.89,2
86,Sassafras,3,97,0,0,0,0,1.41,3
87,Sassafras,2,133,0,0,0,0,1.77,2
88,Sassafras,1,155,0,0,0,0,0.89,2
89,SRd _oak,3,13.6,0,0,1,0,1.19,2
90,SRd _oak,3,105,0,0,1,0,1.235294118,2
