"elev","tmean","ppt","veg_str","bd100","bd1000","ptree100","land_div","lat","lon","ann_prd","FISP"
946.45,17.43248139,263,0.866501928,0,0.031830989,0.488151659,0.0289,-82.52018,35.717693,2206,"absent"
892.42,16.98712299,282,0.817993787,0,0.006366198,0.620260664,0,-82.517599,35.721179,2198,"absent"
840.07,18.31019977,265,0.676214527,0,0.063661977,0.649970362,0.0143,-82.367989,35.490854,2243,"absent"
819.83,17.38544066,256,0.738216306,0.318309886,0.206901426,0.657879147,0.0425,-82.427129,35.781111,2238,"absent"
786.39,18.63091265,205,0.652998708,0,2.877521371,0.618639053,0.4073,-82.51246,35.48097,2270,"absent"
695.24,18.74856052,242,0.597590033,0,0.261014107,0.319098458,0.5614,-82.373546,35.508009,2275,"present"
696.85,18.80483941,237,0.684462449,0.636619772,0.226000019,0.225185185,0.5129,-82.377416,35.511613,2440,"present"
788.56,18.17787113,241,0.677228434,0,0.248281711,0.595435685,0.3034,-82.847928,35.664131,2299,"present"
776.88,17.68823345,252,0.632981619,0.954929659,0.124140856,0.339834515,0.4247,-82.84893,35.66117,2363,"present"
888.93,17.65130827,258,0.658229566,0,0.245098612,0.682450429,0,-82.84979,35.66516,2250,"present"
676.85,18.72776146,297,0.663503689,0.318309886,0.302394392,0.682464455,0.0838,-82.71796,35.192709,2415,"present"
672.72,18.72776146,297,0.645933043,0,0.33422538,0.506681514,0.2282,-82.719415,35.192395,2415,"present"
830.52,17.50458676,221,0.660466468,0.636619772,0.105042262,0.468833087,0.1477,-82.49682,35.675877,2188,"absent"
773.86,18.38539169,258,0.715374291,0.636619772,0.30876059,0.370008873,0.3115,-82.348712,35.521052,2328,"absent"
537.81,19.23645515,205,0.582838238,0.954929659,0.101859164,0.616409953,0.0847,-82.738588,35.823128,2128,"absent"
650.47,18.69332942,188,0.598778483,2.228169203,5.204366639,0.567575578,0.2282,-82.560304,35.609829,2265,"absent"
848.75,18.07097336,304,0.586849672,0.636619772,0.471098632,0.658269117,0.567,-82.689501,35.144275,2162,"absent"
918.1,18.01076381,306,0.694868466,0.954929659,0.525211312,0.640638864,0.4009,-82.679536,35.137057,2121,"absent"
677.11,18.52310223,214,0.63573832,0.318309886,0.25146481,0.410317225,0.4341,-82.634336,35.80541,2164,"present"
763.59,18.27841755,241,0.527670966,0,0.171887339,0.283723688,0.5121,-82.809696,35.663573,2253,"present"
689,18.27841755,241,0.409377833,0.318309886,0.210084525,0.136296296,0.5786,-82.811612,35.666885,2236,"present"
662.83,19.01356835,206,0.627852306,0.954929659,2.202704412,0.503558719,0.615,-82.454716,35.429913,2180,"absent"
742.39,18.16164316,232,0.824172959,0.318309886,1.572450838,0.507409603,0.5724,-82.553916,35.702269,2216,"absent"
782.46,17.8273776,255,0.717205979,0,0.206901426,0.694905213,0.0982,-82.81778,35.65264,2253,"absent"
726.8,18.30589894,243,0.684999652,0.318309886,0.219633821,0.310529447,0.5332,-82.819185,35.653981,2253,"present"
619.38,18.7436839,213,0.755358716,0.318309886,0.942197263,0.650756004,0.2573,-82.605892,35.709621,2305,"absent"
845.32,17.8140188,244,0.584429735,0,0.159154943,0.109069354,0.5071,-82.455417,35.88243,2273,"present"
